household_id,head_person_id,occupants,children_count,income_band_kes_month,meal_count_per_day,breakfast_window,lunch_window,dinner_window,primary_equipment,secondary_equipment,fuel_stack,current_fuel_cost_kes_week,fuel_collection_minutes_week,time_spent_cooking_minutes_day,other_grid_uses,estimated_other_grid_kwh_week,secondary_microeconomic_activity,clean_cooking_readiness_score,fuel_stacking_risk,shiftable_cooking_score,is_minigrid_user,meter_status
HH-0132,P-00446,2,1,middle,2,,12:00-13:00,18:00-19:00,firewood/open fire,,firewood/open fire,84,626,130,lighting;phone charging,0.41,livestock sales,47,55,53,False,none
HH-0133,P-00448,6,3,middle,2,,12:00-13:00,17:00-18:00,electric hob,,electric hob,306,15,117,lighting;phone charging;refrigeration;TV,2.69,beadwork,92,20,61,True,metered
HH-0134,P-00454,4,2,low,3,06:00-07:00,11:00-12:00,20:00-21:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,503,473,131,lighting;phone charging,0.31,livestock sales,62,78,73,False,none
HH-0135,P-00458,7,3,low,1,,,19:00-20:00,firewood/open fire,electric hob,electric hob+firewood/open fire,250,264,90,lighting;phone charging,0.4,livestock sales,38,64,55,False,none
HH-0136,P-00465,4,2,lower_middle,3,07:00-08:00,14:00-15:00,19:00-20:00,charcoal stove,,charcoal stove,363,109,204,lighting;phone charging,0.08,livestock sales,50,55,58,False,none
HH-0137,P-00469,3,1,low,3,07:00-08:00,12:00-13:00,18:00-19:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,548,269,154,lighting;phone charging,0.08,vegetable kiosk,42,64,70,False,none
HH-0138,P-00472,4,2,low,3,06:00-07:00,13:00-14:00,19:00-20:00,firewood/open fire,,firewood/open fire,110,220,228,lighting;phone charging,0.0,none,33,55,61,False,none
HH-0139,P-00476,4,2,lower_middle,3,06:00-07:00,12:00-13:00,18:00-19:00,LPG stove,firewood/open fire,LPG stove+firewood/open fire,870,478,164,lighting;phone charging,0.42,livestock sales,71,78,76,False,none
HH-0140,P-00480,6,1,middle,3,06:00-07:00,13:00-14:00,18:00-19:00,electric hob,charcoal stove,charcoal stove+electric hob,1382,32,162,lighting;phone charging;refrigeration;radio;small shop freezer,1.98,casual labor,96,78,75,True,metered
HH-0141,P-00486,3,1,low,1,,,18:00-19:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,942,547,82,lighting;phone charging,0.15,casual labor,35,64,48,False,none
HH-0142,P-00489,3,0,middle,3,07:00-08:00,12:00-13:00,19:00-20:00,electric pressure cooker,,electric pressure cooker,264,19,135,lighting;phone charging,0.11,beadwork,78,20,74,False,none
HH-0143,P-00492,7,2,lower_middle,3,06:00-07:00,11:00-12:00,19:00-20:00,LPG stove,,LPG stove,534,3,175,lighting;phone charging,0.44,livestock sales,67,20,62,False,none
HH-0144,P-00499,6,3,low,3,06:00-07:00,11:00-12:00,17:00-18:00,electric hob,charcoal stove,charcoal stove+electric hob,884,108,148,lighting;phone charging,0.29,casual labor,59,78,63,False,none
HH-0145,P-00505,8,4,lower_middle,3,08:00-09:00,11:00-12:00,19:00-20:00,charcoal stove,electric pressure cooker,charcoal stove+electric pressure cooker,1257,110,179,lighting;phone charging,0.45,casual labor,62,64,78,False,none
HH-0146,P-00513,3,1,low,3,07:00-08:00,12:00-13:00,18:00-19:00,firewood/open fire,electric hob,electric hob+firewood/open fire,239,212,180,lighting;phone charging,0.19,milk sales,43,64,72,False,none
HH-0147,P-00516,1,0,low,3,06:00-07:00,12:00-13:00,19:00-20:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,733,514,186,lighting;phone charging,0.33,none,42,64,71,False,none
HH-0148,P-00517,6,4,lower_middle,3,07:00-08:00,12:00-13:00,18:00-19:00,LPG stove,firewood/open fire,LPG stove+firewood/open fire,733,436,157,lighting;phone charging,0.05,milk sales,68,78,66,False,none
HH-0149,P-00523,4,1,lower_middle,2,,11:00-12:00,20:00-21:00,charcoal stove,,charcoal stove,352,50,134,lighting;phone charging,0.3,none,46,55,44,False,none
HH-0150,P-00527,5,4,lower_middle,3,07:00-08:00,12:00-13:00,17:00-18:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,214,549,144,lighting;phone charging,0.4,vegetable kiosk,70,78,74,False,none
HH-0151,P-00532,4,0,lower_middle,3,07:00-08:00,11:00-12:00,18:00-19:00,firewood/open fire,electric hob,electric hob+firewood/open fire,407,331,194,lighting;phone charging,0.34,milk sales,52,64,77,False,none
HH-0152,P-00536,5,2,lower_middle,3,07:00-08:00,12:00-13:00,18:00-19:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1359,75,120,lighting;phone charging,0.23,casual labor,70,78,73,False,none
HH-0153,P-00541,1,0,middle,3,07:00-08:00,13:00-14:00,18:00-19:00,LPG stove,,LPG stove,926,2,123,lighting;phone charging,0.17,beadwork,79,20,78,False,none
HH-0154,P-00542,3,1,low,3,06:00-07:00,14:00-15:00,18:00-19:00,charcoal stove,LPG stove,LPG stove+charcoal stove,1783,79,195,lighting;phone charging,0.29,none,54,64,76,False,none
HH-0155,P-00545,1,0,middle,3,07:00-08:00,12:00-13:00,17:00-18:00,electric pressure cooker,charcoal stove,charcoal stove+electric pressure cooker,585,49,148,lighting;phone charging,0.13,vegetable kiosk,77,78,69,False,none
HH-0156,P-00546,3,1,low,3,07:00-08:00,13:00-14:00,19:00-20:00,charcoal stove,electric pressure cooker,charcoal stove+electric pressure cooker,825,20,175,lighting;phone charging,0.02,livestock sales,54,64,75,False,none
HH-0157,P-00549,1,0,middle,3,07:00-08:00,14:00-15:00,18:00-19:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,315,693,153,lighting;phone charging,0.39,casual labor,79,78,78,False,none
HH-0158,P-00550,5,1,higher,3,07:00-08:00,11:00-12:00,18:00-19:00,electric hob,,electric hob,280,24,163,lighting;phone charging;radio;refrigeration;TV,2.29,livestock sales,100,20,76,True,metered
HH-0159,P-00555,1,0,middle,3,06:00-07:00,12:00-13:00,18:00-19:00,LPG stove,,LPG stove,892,5,126,lighting;phone charging,0.32,none,74,20,61,False,none
HH-0160,P-00556,5,3,low,3,07:00-08:00,11:00-12:00,18:00-19:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,465,443,211,lighting;phone charging,0.08,beadwork,42,64,69,False,none
HH-0161,P-00561,7,3,lower_middle,3,08:00-09:00,13:00-14:00,19:00-20:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1795,108,172,lighting;phone charging,0.32,livestock sales,69,78,70,False,none
HH-0162,P-00568,3,2,lower_middle,3,08:00-09:00,12:00-13:00,17:00-18:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,309,456,169,lighting;phone charging,0.06,beadwork,47,64,61,False,none
HH-0163,P-00571,6,2,higher,3,06:00-07:00,11:00-12:00,18:00-19:00,electric pressure cooker,,electric pressure cooker,469,42,173,lighting;phone charging;small shop freezer;TV,1.12,livestock sales,100,20,78,True,sub_metered
HH-0164,P-00577,6,3,lower_middle,3,06:00-07:00,11:00-12:00,19:00-20:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1591,89,143,lighting;phone charging,0.36,none,70,78,73,False,none
HH-0165,P-00583,4,1,higher,3,06:00-07:00,13:00-14:00,19:00-20:00,electric hob,LPG stove,LPG stove+electric hob,930,10,156,lighting;phone charging;radio,2.52,beadwork,100,28,63,True,metered
HH-0166,P-00587,2,1,lower_middle,3,07:00-08:00,12:00-13:00,17:00-18:00,charcoal stove,,charcoal stove,301,63,166,lighting;phone charging,0.4,beadwork,49,55,54,False,none
HH-0167,P-00589,5,3,low,2,,11:00-12:00,20:00-21:00,charcoal stove,,charcoal stove,410,41,118,lighting;phone charging,0.31,beadwork,42,55,55,False,none
HH-0168,P-00594,6,1,low,3,07:00-08:00,14:00-15:00,18:00-19:00,charcoal stove,,charcoal stove,865,49,198,lighting;phone charging,0.28,beadwork,38,55,45,False,none
HH-0169,P-00600,1,0,low,2,,14:00-15:00,19:00-20:00,firewood/open fire,,firewood/open fire,120,222,96,lighting;phone charging,0.23,livestock sales,31,55,54,False,none
HH-0170,P-00601,4,1,middle,2,,12:00-13:00,19:00-20:00,charcoal stove,LPG stove,LPG stove+charcoal stove,1425,73,99,lighting;phone charging,0.48,milk sales,69,64,72,False,none
HH-0171,P-00605,2,0,middle,3,07:00-08:00,11:00-12:00,18:00-19:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,771,319,200,lighting;phone charging,0.25,none,60,64,77,False,none
HH-0172,P-00607,5,2,lower_middle,3,07:00-08:00,12:00-13:00,18:00-19:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1716,51,141,lighting;phone charging,0.27,beadwork,67,78,62,False,none
HH-0173,P-00612,1,0,lower_middle,1,,,19:00-20:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,289,568,55,lighting;phone charging,0.14,milk sales,45,64,52,False,none
HH-0174,P-00613,3,2,lower_middle,2,,11:00-12:00,17:00-18:00,electric hob,LPG stove,LPG stove+electric hob,808,19,93,lighting;phone charging,0.2,livestock sales,70,28,72,False,none
HH-0175,P-00616,4,1,middle,3,06:00-07:00,12:00-13:00,17:00-18:00,charcoal stove,electric pressure cooker,charcoal stove+electric pressure cooker,868,97,200,lighting;phone charging,0.43,vegetable kiosk,66,64,63,False,none
HH-0176,P-00620,6,1,lower_middle,3,07:00-08:00,12:00-13:00,18:00-19:00,firewood/open fire,electric hob,electric hob+firewood/open fire,409,367,236,lighting;phone charging,0.11,milk sales,50,64,71,False,none
HH-0177,P-00626,3,1,lower_middle,3,06:00-07:00,11:00-12:00,18:00-19:00,firewood/open fire,electric hob,electric hob+firewood/open fire,420,484,214,lighting;phone charging,0.33,livestock sales,52,64,78,False,none
HH-0178,P-00629,1,0,lower_middle,3,08:00-09:00,13:00-14:00,18:00-19:00,charcoal stove,LPG stove,LPG stove+charcoal stove,1004,104,154,lighting;phone charging,0.13,livestock sales,60,64,70,False,none
HH-0179,P-00630,8,4,lower_middle,2,,11:00-12:00,19:00-20:00,electric pressure cooker,,electric pressure cooker,444,2,126,lighting;phone charging;TV,2.5,beadwork,90,20,79,True,metered
HH-0180,P-00638,2,1,low,3,06:00-07:00,12:00-13:00,17:00-18:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,312,522,162,lighting;phone charging,0.09,none,44,64,78,False,none
HH-0181,P-00640,4,1,low,1,,,18:00-19:00,charcoal stove,,charcoal stove,575,22,77,lighting;phone charging,0.11,casual labor,33,55,28,False,none
HH-0182,P-00644,3,1,middle,3,06:00-07:00,11:00-12:00,18:00-19:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,1080,185,210,lighting;phone charging,0.44,casual labor,60,64,77,False,none
HH-0183,P-00647,3,1,low,3,07:00-08:00,12:00-13:00,17:00-18:00,charcoal stove,,charcoal stove,623,90,155,lighting;phone charging,0.03,livestock sales,40,55,49,False,none
HH-0184,P-00650,6,3,lower_middle,2,,13:00-14:00,19:00-20:00,LPG stove,,LPG stove,1058,18,110,lighting;phone charging,0.07,none,68,20,67,False,none
HH-0185,P-00656,3,1,middle,2,,13:00-14:00,18:00-19:00,charcoal stove,firewood/open fire,charcoal stove+firewood/open fire,770,307,122,lighting;phone charging,0.13,casual labor,56,88,51,False,none
HH-0186,P-00659,3,0,lower_middle,1,,,18:00-19:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,323,311,85,lighting;phone charging,0.09,casual labor,47,64,61,False,none
HH-0187,P-00662,3,2,higher,3,06:00-07:00,13:00-14:00,17:00-18:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,247,584,119,lighting;phone charging;TV;radio;small shop freezer,2.91,vegetable kiosk,100,78,65,True,metered
HH-0188,P-00665,6,4,middle,3,07:00-08:00,12:00-13:00,18:00-19:00,electric pressure cooker,electric hob,electric hob+electric pressure cooker,193,21,138,lighting;phone charging;TV;small shop freezer;radio,1.56,livestock sales,94,28,67,True,metered
HH-0189,P-00671,2,0,middle,3,07:00-08:00,14:00-15:00,20:00-21:00,LPG stove,electric pressure cooker,LPG stove+electric pressure cooker,1155,24,147,lighting;phone charging,0.34,beadwork,78,28,72,False,none
HH-0190,P-00673,3,1,low,1,,,18:00-19:00,firewood/open fire,charcoal stove,charcoal stove+firewood/open fire,570,372,71,lighting;phone charging,0.24,none,24,88,31,False,none
HH-0191,P-00676,4,3,low,1,,,19:00-20:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,359,242,70,lighting;phone charging,0.37,beadwork,38,64,56,False,none
HH-0192,P-00680,4,2,lower_middle,2,,12:00-13:00,17:00-18:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,388,466,125,lighting;phone charging,0.21,livestock sales,50,64,70,False,none
HH-0193,P-00684,6,1,lower_middle,3,07:00-08:00,12:00-13:00,18:00-19:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1567,58,176,lighting;phone charging,0.11,livestock sales,72,78,79,False,none
HH-0194,P-00690,1,0,lower_middle,3,07:00-08:00,12:00-13:00,18:00-19:00,LPG stove,firewood/open fire,LPG stove+firewood/open fire,711,671,118,lighting;phone charging,0.22,livestock sales,70,78,73,False,none
HH-0195,P-00691,3,0,low,3,06:00-07:00,12:00-13:00,17:00-18:00,charcoal stove,firewood/open fire,charcoal stove+firewood/open fire,816,701,198,lighting;phone charging,0.47,livestock sales,42,88,55,False,none
HH-0196,P-00694,5,3,low,3,08:00-09:00,12:00-13:00,19:00-20:00,charcoal stove,electric hob,charcoal stove+electric hob,984,59,183,lighting;phone charging,0.01,casual labor,50,64,64,False,none
HH-0197,P-00699,1,0,lower_middle,3,06:00-07:00,12:00-13:00,19:00-20:00,electric pressure cooker,,electric pressure cooker,278,16,118,lighting;phone charging,0.38,casual labor,68,20,68,False,none
HH-0198,P-00700,4,2,lower_middle,2,,13:00-14:00,18:00-19:00,charcoal stove,,charcoal stove,761,87,110,lighting;phone charging,0.31,none,51,55,61,False,none
HH-0199,P-00704,2,0,lower_middle,2,,12:00-13:00,19:00-20:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,1028,529,100,lighting;phone charging,0.24,livestock sales,50,64,71,False,none
HH-0200,P-00706,4,2,lower_middle,3,06:00-07:00,13:00-14:00,18:00-19:00,LPG stove,firewood/open fire,LPG stove+firewood/open fire,928,384,166,lighting;phone charging,0.2,milk sales,70,78,74,False,none
HH-0201,P-00710,2,0,higher,2,,12:00-13:00,18:00-19:00,electric hob,,electric hob,363,39,83,lighting;phone charging;TV;water pump,2.71,vegetable kiosk,100,20,79,True,metered
HH-0202,P-00712,1,0,low,2,,12:00-13:00,19:00-20:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1213,83,80,lighting;phone charging,0.22,casual labor,60,78,68,False,none
HH-0203,P-00713,1,0,lower_middle,3,07:00-08:00,12:00-13:00,19:00-20:00,LPG stove,electric pressure cooker,LPG stove+electric pressure cooker,999,2,115,lighting;phone charging,0.23,beadwork,68,28,65,False,none
HH-0204,P-00714,3,2,lower_middle,2,,12:00-13:00,18:00-19:00,LPG stove,electric pressure cooker,LPG stove+electric pressure cooker,1030,14,87,lighting;phone charging,0.11,livestock sales,71,28,78,False,none
HH-0205,P-00717,5,4,middle,3,06:00-07:00,13:00-14:00,19:00-20:00,electric pressure cooker,LPG stove,LPG stove+electric pressure cooker,1298,5,144,lighting;phone charging;refrigeration,2.8,casual labor,96,28,74,True,metered
HH-0206,P-00722,5,2,low,2,,12:00-13:00,20:00-21:00,firewood/open fire,,firewood/open fire,266,426,121,lighting;phone charging,0.24,vegetable kiosk,30,55,51,False,none
HH-0207,P-00727,6,1,middle,3,06:00-07:00,12:00-13:00,18:00-19:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,396,270,165,lighting;phone charging;radio;water pump,1.92,none,92,78,61,True,metered
HH-0208,P-00733,1,0,low,1,,,19:00-20:00,firewood/open fire,electric hob,electric hob+firewood/open fire,434,348,50,lighting;phone charging,0.37,none,37,64,54,False,none
HH-0209,P-00734,5,2,low,2,,13:00-14:00,19:00-20:00,charcoal stove,firewood/open fire,charcoal stove+firewood/open fire,931,340,120,lighting;phone charging,0.37,casual labor,40,88,49,False,none
HH-0210,P-00739,1,0,low,3,06:00-07:00,11:00-12:00,17:00-18:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,558,242,190,lighting;phone charging,0.11,livestock sales,40,64,65,False,none
HH-0211,P-00740,1,0,low,2,,12:00-13:00,18:00-19:00,firewood/open fire,,firewood/open fire,167,486,126,lighting;phone charging,0.08,livestock sales,30,55,49,False,none
HH-0212,P-00741,1,0,low,3,06:00-07:00,11:00-12:00,20:00-21:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1203,24,145,lighting;phone charging,0.09,milk sales,58,78,61,False,none
HH-0213,P-00742,6,3,low,3,08:00-09:00,12:00-13:00,19:00-20:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,333,337,218,lighting;phone charging,0.05,livestock sales,41,64,66,False,none
HH-0214,P-00748,2,1,low,3,08:00-09:00,12:00-13:00,17:00-18:00,charcoal stove,electric hob,charcoal stove+electric hob,1198,95,186,lighting;phone charging,0.49,milk sales,54,64,77,False,none
HH-0215,P-00750,1,0,low,3,07:00-08:00,12:00-13:00,17:00-18:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,874,639,186,lighting;phone charging,0.09,milk sales,44,64,78,False,none
HH-0216,P-00751,5,2,middle,1,,,18:00-19:00,electric hob,,electric hob,99,12,65,lighting;phone charging;small shop freezer;radio,1.17,casual labor,90,20,53,True,metered
HH-0217,P-00756,5,4,lower_middle,3,06:00-07:00,12:00-13:00,17:00-18:00,charcoal stove,electric pressure cooker,charcoal stove+electric pressure cooker,592,26,166,lighting;phone charging,0.37,beadwork,63,64,79,False,none
HH-0218,P-00761,4,1,lower_middle,2,,14:00-15:00,20:00-21:00,LPG stove,charcoal stove,LPG stove+charcoal stove,1174,26,110,lighting;phone charging,0.09,milk sales,70,78,73,False,none
HH-0219,P-00765,2,0,lower_middle,3,07:00-08:00,11:00-12:00,18:00-19:00,LPG stove,electric hob,LPG stove+electric hob,1482,4,122,lighting;phone charging,0.27,livestock sales,67,28,62,False,none
HH-0220,P-00767,6,3,lower_middle,1,,,19:00-20:00,charcoal stove,,charcoal stove,401,53,82,lighting;phone charging,0.27,milk sales,41,55,27,False,none
HH-0221,P-00773,5,2,lower_middle,1,,,18:00-19:00,firewood/open fire,electric hob,electric hob+firewood/open fire,316,271,95,lighting;phone charging,0.07,beadwork,44,64,49,False,none
HH-0222,P-00778,1,0,low,2,,12:00-13:00,19:00-20:00,firewood/open fire,charcoal stove,charcoal stove+firewood/open fire,651,348,114,lighting;phone charging,0.5,vegetable kiosk,28,88,45,False,none
HH-0223,P-00779,4,1,lower_middle,3,07:00-08:00,13:00-14:00,18:00-19:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,219,265,194,lighting;phone charging,0.08,casual labor,47,64,61,False,none
HH-0224,P-00783,4,2,low,2,,14:00-15:00,17:00-18:00,charcoal stove,,charcoal stove,317,108,112,lighting;phone charging,0.24,milk sales,38,55,45,False,none
HH-0225,P-00787,3,2,middle,3,06:00-07:00,12:00-13:00,19:00-20:00,charcoal stove,,charcoal stove,727,67,135,lighting;phone charging,0.39,casual labor,59,55,60,False,none
HH-0226,P-00790,1,0,lower_middle,3,07:00-08:00,13:00-14:00,18:00-19:00,charcoal stove,firewood/open fire,charcoal stove+firewood/open fire,687,297,174,lighting;phone charging,0.32,casual labor,49,88,54,False,none
HH-0227,P-00791,1,0,middle,2,,12:00-13:00,20:00-21:00,charcoal stove,electric pressure cooker,charcoal stove+electric pressure cooker,962,81,102,lighting;phone charging,0.25,none,66,64,65,False,none
HH-0228,P-00792,6,2,low,1,,,20:00-21:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,329,501,96,lighting;phone charging,0.23,beadwork,37,64,52,False,none
HH-0229,P-00798,1,0,higher,3,07:00-08:00,12:00-13:00,18:00-19:00,electric hob,electric pressure cooker,electric hob+electric pressure cooker,254,24,129,lighting;phone charging;refrigeration,2.06,livestock sales,100,28,62,True,metered
HH-0230,P-00799,2,0,low,2,,12:00-13:00,17:00-18:00,charcoal stove,electric hob,charcoal stove+electric hob,791,92,95,lighting;phone charging,0.12,livestock sales,50,64,65,False,none
HH-0231,P-00801,7,3,lower_middle,3,06:00-07:00,12:00-13:00,18:00-19:00,firewood/open fire,electric pressure cooker,electric pressure cooker+firewood/open fire,383,554,209,lighting;phone charging,0.41,milk sales,50,64,71,False,none
HH-0232,P-00808,3,0,middle,3,06:00-07:00,12:00-13:00,20:00-21:00,charcoal stove,,charcoal stove,663,111,135,lighting;phone charging,0.31,livestock sales,54,55,44,False,none
HH-0233,P-00811,3,2,lower_middle,3,06:00-07:00,13:00-14:00,18:00-19:00,firewood/open fire,,firewood/open fire,282,651,221,lighting;phone charging,0.18,none,40,55,56,False,none
HH-0234,P-00814,5,2,low,3,07:00-08:00,14:00-15:00,18:00-19:00,charcoal stove,,charcoal stove,440,36,150,lighting;phone charging,0.03,milk sales,43,55,59,False,none
HH-0235,P-00819,4,1,low,1,,,18:00-19:00,LPG stove,firewood/open fire,LPG stove+firewood/open fire,638,185,57,lighting;phone charging,0.31,vegetable kiosk,55,78,51,False,none
HH-0236,P-00823,4,1,low,3,06:00-07:00,12:00-13:00,18:00-19:00,LPG stove,electric hob,LPG stove+electric hob,1356,33,129,lighting;phone charging,0.19,casual labor,63,28,76,False,none
HH-0237,P-00827,1,0,lower_middle,3,06:00-07:00,11:00-12:00,18:00-19:00,charcoal stove,electric pressure cooker,charcoal stove+electric pressure cooker,624,106,128,lighting;phone charging,0.07,beadwork,60,64,69,False,none
HH-0238,P-00828,6,2,low,2,,13:00-14:00,19:00-20:00,charcoal stove,,charcoal stove,628,93,154,lighting;phone charging,0.33,casual labor,39,55,48,False,none
HH-0239,P-00834,4,1,low,2,,11:00-12:00,17:00-18:00,firewood/open fire,,firewood/open fire,79,428,145,lighting;phone charging,0.38,livestock sales,29,55,48,False,none
HH-0240,P-00838,5,2,lower_middle,3,06:00-07:00,13:00-14:00,17:00-18:00,LPG stove,,LPG stove,1009,13,125,lighting;phone charging,0.15,casual labor,71,20,77,False,none
HH-0241,P-00843,2,1,lower_middle,2,,13:00-14:00,20:00-21:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,919,340,128,lighting;phone charging,0.47,vegetable kiosk,51,64,73,False,none
HH-0242,P-00845,1,0,low,3,07:00-08:00,12:00-13:00,18:00-19:00,firewood/open fire,,firewood/open fire,133,592,164,lighting;phone charging,0.36,vegetable kiosk,28,55,44,False,none
HH-0243,P-00846,1,0,lower_middle,3,07:00-08:00,13:00-14:00,19:00-20:00,charcoal stove,electric pressure cooker,charcoal stove+electric pressure cooker,848,105,128,lighting;phone charging,0.23,vegetable kiosk,59,64,67,False,none
HH-0244,P-00847,4,1,low,3,07:00-08:00,14:00-15:00,19:00-20:00,charcoal stove,LPG stove,LPG stove+charcoal stove,1818,84,138,lighting;phone charging,0.39,casual labor,54,64,77,False,none
HH-0245,P-00851,6,2,lower_middle,2,,12:00-13:00,18:00-19:00,charcoal stove,firewood/open fire,charcoal stove+firewood/open fire,649,462,132,lighting;phone charging,0.36,livestock sales,51,88,59,False,none
HH-0246,P-00857,7,3,low,3,07:00-08:00,12:00-13:00,17:00-18:00,charcoal stove,,charcoal stove,835,108,187,lighting;phone charging,0.02,casual labor,38,55,44,False,none
HH-0247,P-00864,4,3,lower_middle,3,06:00-07:00,11:00-12:00,18:00-19:00,firewood/open fire,,firewood/open fire,165,389,179,lighting;phone charging,0.1,casual labor,39,55,52,False,none
HH-0248,P-00868,3,2,middle,3,06:00-07:00,12:00-13:00,20:00-21:00,charcoal stove,LPG stove,LPG stove+charcoal stove,1481,110,142,lighting;phone charging,0.2,livestock sales,68,64,69,False,none
HH-0249,P-00871,2,1,middle,2,,11:00-12:00,18:00-19:00,firewood/open fire,,firewood/open fire,94,276,148,lighting;phone charging,0.23,beadwork,45,55,46,False,none
HH-0250,P-00873,4,3,lower_middle,3,07:00-08:00,11:00-12:00,18:00-19:00,LPG stove,electric pressure cooker,LPG stove+electric pressure cooker,933,37,118,lighting;phone charging,0.32,livestock sales,67,28,62,False,none
HH-0251,P-00877,1,0,low,3,06:00-07:00,12:00-13:00,18:00-19:00,firewood/open fire,electric hob,electric hob+firewood/open fire,269,596,141,lighting;phone charging,0.36,none,42,64,71,False,none
HH-0252,P-00878,7,1,lower_middle,3,08:00-09:00,12:00-13:00,19:00-20:00,electric pressure cooker,firewood/open fire,electric pressure cooker+firewood/open fire,642,578,134,lighting;phone charging,0.23,beadwork,71,78,77,False,none
HH-0253,P-00885,4,1,lower_middle,3,06:00-07:00,12:00-13:00,17:00-18:00,charcoal stove,firewood/open fire,charcoal stove+firewood/open fire,390,369,157,lighting;phone charging,0.41,none,51,88,59,False,none
HH-0254,P-00889,6,4,middle,2,,12:00-13:00,17:00-18:00,electric pressure cooker,electric hob,electric hob+electric pressure cooker,187,38,119,lighting;phone charging;small shop freezer,2.8,vegetable kiosk,96,28,74,True,metered
HH-0255,P-00895,4,3,lower_middle,3,06:00-07:00,12:00-13:00,19:00-20:00,charcoal stove,,charcoal stove,743,109,187,lighting;phone charging,0.13,vegetable kiosk,50,55,58,False,none
HH-0256,P-00899,5,2,low,3,06:00-07:00,12:00-13:00,18:00-19:00,electric pressure cooker,,electric pressure cooker,409,0,168,lighting;phone charging,0.34,vegetable kiosk,59,20,64,False,none
HH-0257,P-00904,6,1,middle,3,06:00-07:00,13:00-14:00,17:00-18:00,electric hob,,electric hob,171,19,173,lighting;phone charging;TV,0.58,livestock sales,96,20,72,True,metered
HH-0258,P-00910,2,0,lower_middle,3,08:00-09:00,12:00-13:00,18:00-19:00,charcoal stove,,charcoal stove,468,33,183,lighting;phone charging,0.15,livestock sales,51,55,61,False,none
HH-0259,P-00912,3,2,lower_middle,2,,12:00-13:00,19:00-20:00,charcoal stove,,charcoal stove,759,23,133,lighting;phone charging,0.07,none,49,55,53,False,none
HH-0260,P-00915,7,4,lower_middle,1,,,17:00-18:00,firewood/open fire,LPG stove,LPG stove+firewood/open fire,1076,331,90,lighting;phone charging,0.12,vegetable kiosk,43,64,48,False,none
HH-0261,P-00922,5,2,lower_middle,2,,11:00-12:00,20:00-21:00,charcoal stove,electric pressure cooker,charcoal stove+electric pressure cooker,585,36,140,lighting;phone charging,0.27,none,60,64,69,False,none
HH-0262,P-00927,6,2,higher,3,06:00-07:00,12:00-13:00,18:00-19:00,electric pressure cooker,charcoal stove,charcoal stove+electric pressure cooker,1038,75,124,lighting;phone charging;radio;water pump,1.75,livestock sales,100,78,61,True,metered
HH-0263,P-00933,3,0,low,3,06:00-07:00,14:00-15:00,19:00-20:00,charcoal stove,electric hob,charcoal stove+electric hob,553,27,185,lighting;phone charging,0.44,vegetable kiosk,49,64,61,False,none
HH-0264,P-00936,6,4,low,3,08:00-09:00,12:00-13:00,18:00-19:00,firewood/open fire,,firewood/open fire,95,575,184,lighting;phone charging,0.34,livestock sales,28,55,45,False,none
HH-0265,P-00942,5,3,higher,3,06:00-07:00,11:00-12:00,19:00-20:00,LPG stove,electric hob,LPG stove+electric hob,1246,3,152,lighting;phone charging;refrigeration,1.72,livestock sales,100,28,66,True,metered
HH-0266,P-00947,4,0,lower_middle,2,,12:00-13:00,18:00-19:00,charcoal stove,,charcoal stove,653,82,128,lighting;phone charging,0.38,casual labor,50,55,58,False,none
