person_id,household_id,age_band,gender,role,student_or_worker_status,primary_activity
P-00501,HH-0144,6-12,female,child,student,school
P-00502,HH-0144,0-5,female,child,caregiver,casual_labor
P-00503,HH-0144,25-34,female,adult,worker,retail_trade
P-00504,HH-0144,55-64,female,adult,caregiver,other
P-00505,HH-0145,25-34,female,household_head,worker,home_care
P-00506,HH-0145,13-17,female,child,student,casual_labor
P-00507,HH-0145,0-5,female,child,dependent,livestock
P-00508,HH-0145,13-17,female,child,student,retail_trade
P-00509,HH-0145,45-54,female,adult,worker,retail_trade
P-00510,HH-0145,55-64,male,adult,worker,retail_trade
P-00511,HH-0145,6-12,female,child,student,other
P-00512,HH-0145,25-34,female,adult,caregiver,casual_labor
P-00513,HH-0146,45-54,female,household_head,worker,livestock
P-00514,HH-0146,6-12,female,child,student,livestock
P-00515,HH-0146,25-34,female,adult,worker,livestock
P-00516,HH-0147,65+,male,household_head,dependent,home_care
P-00517,HH-0148,35-44,female,household_head,worker,home_care
P-00518,HH-0148,13-17,male,child,student,school
P-00519,HH-0148,0-5,male,child,dependent,retail_trade
P-00520,HH-0148,25-34,male,adult,worker,restaurant_work
P-00521,HH-0148,0-5,female,child,dependent,home_care
P-00522,HH-0148,0-5,male,child,dependent,casual_labor
P-00523,HH-0149,55-64,female,household_head,worker,home_care
P-00524,HH-0149,18-24,male,adult,worker,home_care
P-00525,HH-0149,13-17,female,child,student,home_care
P-00526,HH-0149,25-34,female,adult,worker,casual_labor
P-00527,HH-0150,45-54,male,household_head,worker,home_care
P-00528,HH-0150,6-12,female,child,student,school
P-00529,HH-0150,6-12,male,child,student,school
P-00530,HH-0150,0-5,female,child,dependent,livestock
P-00531,HH-0150,0-5,male,child,dependent,livestock
P-00532,HH-0151,25-34,male,household_head,worker,school
P-00533,HH-0151,25-34,female,adult,worker,home_care
P-00534,HH-0151,18-24,male,adult,worker,home_care
P-00535,HH-0151,35-44,male,adult,worker,livestock
P-00536,HH-0152,35-44,female,household_head,caregiver,livestock
P-00537,HH-0152,6-12,male,child,student,casual_labor
P-00538,HH-0152,45-54,male,adult,worker,casual_labor
P-00539,HH-0152,25-34,male,adult,worker,casual_labor
P-00540,HH-0152,13-17,male,child,student,school
P-00541,HH-0153,55-64,male,household_head,worker,casual_labor
P-00542,HH-0154,25-34,male,household_head,worker,retail_trade
P-00543,HH-0154,25-34,male,adult,worker,casual_labor
P-00544,HH-0154,0-5,female,child,caregiver,retail_trade
P-00545,HH-0155,35-44,male,household_head,worker,restaurant_work
P-00546,HH-0156,35-44,male,household_head,caregiver,retail_trade
P-00547,HH-0156,6-12,female,child,student,school
P-00548,HH-0156,18-24,female,adult,worker,livestock
P-00549,HH-0157,45-54,female,household_head,caregiver,casual_labor
P-00550,HH-0158,55-64,female,household_head,worker,restaurant_work
P-00551,HH-0158,25-34,male,adult,worker,home_care
P-00552,HH-0158,18-24,male,adult,worker,livestock
P-00553,HH-0158,6-12,female,child,student,retail_trade
P-00554,HH-0158,25-34,male,adult,caregiver,casual_labor
P-00555,HH-0159,45-54,female,household_head,caregiver,retail_trade
P-00556,HH-0160,45-54,female,household_head,worker,casual_labor
P-00557,HH-0160,13-17,male,child,student,retail_trade
P-00558,HH-0160,65+,female,adult,dependent,livestock
P-00559,HH-0160,13-17,male,child,student,casual_labor
P-00560,HH-0160,0-5,female,child,dependent,retail_trade
P-00561,HH-0161,45-54,female,household_head,worker,casual_labor
P-00562,HH-0161,45-54,female,adult,worker,home_care
P-00563,HH-0161,25-34,female,adult,caregiver,home_care
P-00564,HH-0161,18-24,female,adult,caregiver,home_care
P-00565,HH-0161,13-17,female,child,student,home_care
P-00566,HH-0161,13-17,male,child,student,livestock
P-00567,HH-0161,6-12,male,child,student,retail_trade
P-00568,HH-0162,35-44,female,household_head,worker,casual_labor
P-00569,HH-0162,0-5,female,child,dependent,home_care
P-00570,HH-0162,13-17,female,child,student,restaurant_work
P-00571,HH-0163,35-44,male,household_head,worker,retail_trade
P-00572,HH-0163,18-24,female,adult,worker,restaurant_work
P-00573,HH-0163,18-24,male,adult,caregiver,livestock
P-00574,HH-0163,18-24,male,adult,worker,livestock
P-00575,HH-0163,6-12,male,child,student,retail_trade
P-00576,HH-0163,0-5,female,child,dependent,retail_trade
P-00577,HH-0164,35-44,male,household_head,worker,other
P-00578,HH-0164,45-54,female,adult,worker,retail_trade
P-00579,HH-0164,0-5,male,child,dependent,casual_labor
P-00580,HH-0164,35-44,male,adult,worker,retail_trade
P-00581,HH-0164,13-17,male,child,student,school
P-00582,HH-0164,13-17,male,child,student,school
P-00583,HH-0165,55-64,male,household_head,worker,retail_trade
P-00584,HH-0165,25-34,female,adult,worker,casual_labor
P-00585,HH-0165,0-5,female,child,dependent,home_care
P-00586,HH-0165,35-44,female,adult,caregiver,livestock
P-00587,HH-0166,45-54,female,household_head,worker,livestock
P-00588,HH-0166,0-5,male,child,caregiver,other
P-00589,HH-0167,25-34,male,household_head,worker,livestock
P-00590,HH-0167,13-17,female,child,student,casual_labor
P-00591,HH-0167,13-17,female,child,student,livestock
P-00592,HH-0167,6-12,male,child,student,livestock
P-00593,HH-0167,45-54,male,adult,worker,livestock
P-00594,HH-0168,35-44,male,household_head,worker,home_care
P-00595,HH-0168,45-54,male,adult,worker,home_care
P-00596,HH-0168,35-44,male,adult,worker,retail_trade
P-00597,HH-0168,18-24,male,adult,worker,casual_labor
P-00598,HH-0168,0-5,male,child,caregiver,casual_labor
P-00599,HH-0168,35-44,male,adult,worker,casual_labor
P-00600,HH-0169,35-44,female,household_head,worker,home_care
P-00601,HH-0170,55-64,female,household_head,worker,casual_labor
P-00602,HH-0170,18-24,male,adult,caregiver,casual_labor
P-00603,HH-0170,18-24,female,adult,worker,retail_trade
P-00604,HH-0170,13-17,male,child,student,home_care
P-00605,HH-0171,45-54,female,household_head,caregiver,home_care
P-00606,HH-0171,25-34,male,adult,worker,livestock
P-00607,HH-0172,25-34,male,household_head,caregiver,retail_trade
P-00608,HH-0172,35-44,male,adult,caregiver,livestock
P-00609,HH-0172,0-5,male,child,dependent,home_care
P-00610,HH-0172,6-12,male,child,student,school
P-00611,HH-0172,55-64,female,adult,caregiver,home_care
P-00612,HH-0173,25-34,female,household_head,worker,casual_labor
P-00613,HH-0174,35-44,female,household_head,worker,home_care
P-00614,HH-0174,6-12,female,child,student,school
P-00615,HH-0174,6-12,male,child,student,school
P-00616,HH-0175,65+,male,household_head,caregiver,retail_trade
P-00617,HH-0175,25-34,male,adult,worker,casual_labor
P-00618,HH-0175,25-34,male,adult,worker,livestock
P-00619,HH-0175,6-12,male,child,student,home_care
P-00620,HH-0176,55-64,female,household_head,worker,retail_trade
P-00621,HH-0176,6-12,male,child,student,school
P-00622,HH-0176,55-64,male,adult,worker,livestock
P-00623,HH-0176,18-24,female,adult,worker,home_care
P-00624,HH-0176,35-44,male,adult,worker,casual_labor
P-00625,HH-0176,45-54,male,adult,worker,casual_labor
P-00626,HH-0177,25-34,male,household_head,caregiver,casual_labor
P-00627,HH-0177,25-34,female,adult,worker,casual_labor
P-00628,HH-0177,0-5,female,child,dependent,home_care
P-00629,HH-0178,35-44,female,household_head,worker,livestock
P-00630,HH-0179,55-64,female,household_head,worker,casual_labor
P-00631,HH-0179,0-5,female,child,caregiver,livestock
P-00632,HH-0179,35-44,male,adult,worker,casual_labor
P-00633,HH-0179,45-54,male,adult,caregiver,casual_labor
P-00634,HH-0179,25-34,male,adult,worker,school
P-00635,HH-0179,6-12,male,child,student,restaurant_work
P-00636,HH-0179,0-5,female,child,caregiver,home_care
P-00637,HH-0179,13-17,female,child,student,retail_trade
P-00638,HH-0180,35-44,female,household_head,worker,home_care
P-00639,HH-0180,0-5,male,child,dependent,retail_trade
P-00640,HH-0181,25-34,male,household_head,caregiver,casual_labor
P-00641,HH-0181,45-54,female,adult,caregiver,retail_trade
P-00642,HH-0181,35-44,male,adult,worker,retail_trade
P-00643,HH-0181,0-5,male,child,dependent,casual_labor
P-00644,HH-0182,55-64,female,household_head,caregiver,retail_trade
P-00645,HH-0182,35-44,male,adult,worker,retail_trade
P-00646,HH-0182,0-5,female,child,dependent,home_care
P-00647,HH-0183,35-44,female,household_head,worker,casual_labor
P-00648,HH-0183,6-12,male,child,student,school
P-00649,HH-0183,18-24,male,adult,caregiver,casual_labor
P-00650,HH-0184,35-44,female,household_head,worker,casual_labor
P-00651,HH-0184,0-5,female,child,dependent,livestock
P-00652,HH-0184,0-5,male,child,dependent,home_care
P-00653,HH-0184,18-24,female,adult,worker,casual_labor
P-00654,HH-0184,6-12,male,child,student,school
P-00655,HH-0184,35-44,male,adult,caregiver,restaurant_work
P-00656,HH-0185,25-34,male,household_head,worker,casual_labor
P-00657,HH-0185,13-17,female,child,student,restaurant_work
P-00658,HH-0185,45-54,female,adult,worker,retail_trade
P-00659,HH-0186,35-44,female,household_head,caregiver,livestock
P-00660,HH-0186,35-44,male,adult,worker,retail_trade
P-00661,HH-0186,18-24,female,adult,worker,home_care
P-00662,HH-0187,35-44,female,household_head,worker,livestock
P-00663,HH-0187,6-12,female,child,student,retail_trade
P-00664,HH-0187,6-12,female,child,student,casual_labor
P-00665,HH-0188,45-54,male,household_head,worker,home_care
P-00666,HH-0188,0-5,female,child,dependent,retail_trade
P-00667,HH-0188,13-17,female,child,student,school
P-00668,HH-0188,18-24,male,adult,worker,casual_labor
P-00669,HH-0188,6-12,female,child,student,casual_labor
P-00670,HH-0188,6-12,male,child,student,school
P-00671,HH-0189,35-44,female,household_head,worker,casual_labor
P-00672,HH-0189,35-44,male,adult,worker,home_care
P-00673,HH-0190,35-44,male,household_head,worker,casual_labor
P-00674,HH-0190,35-44,male,adult,caregiver,restaurant_work
P-00675,HH-0190,0-5,female,child,dependent,other
P-00676,HH-0191,45-54,female,household_head,worker,home_care
P-00677,HH-0191,13-17,female,child,student,school
P-00678,HH-0191,0-5,female,child,dependent,home_care
P-00679,HH-0191,13-17,male,child,student,school
P-00680,HH-0192,25-34,male,household_head,worker,casual_labor
P-00681,HH-0192,0-5,male,child,caregiver,home_care
P-00682,HH-0192,45-54,male,adult,worker,restaurant_work
P-00683,HH-0192,13-17,male,child,student,livestock
P-00684,HH-0193,35-44,female,household_head,worker,home_care
P-00685,HH-0193,45-54,female,adult,worker,livestock
P-00686,HH-0193,13-17,male,child,student,livestock
P-00687,HH-0193,55-64,male,adult,caregiver,home_care
P-00688,HH-0193,35-44,male,adult,worker,retail_trade
P-00689,HH-0193,18-24,male,adult,worker,livestock
P-00690,HH-0194,45-54,female,household_head,worker,casual_labor
P-00691,HH-0195,65+,male,household_head,dependent,livestock
P-00692,HH-0195,18-24,female,adult,worker,home_care
P-00693,HH-0195,18-24,male,adult,worker,casual_labor
P-00694,HH-0196,25-34,male,household_head,worker,livestock
P-00695,HH-0196,6-12,male,child,student,school
P-00696,HH-0196,18-24,male,adult,worker,home_care
P-00697,HH-0196,13-17,male,child,student,school
P-00698,HH-0196,6-12,male,child,student,school
P-00699,HH-0197,55-64,female,household_head,worker,retail_trade
P-00700,HH-0198,25-34,female,household_head,worker,home_care
P-00701,HH-0198,13-17,female,child,student,livestock
P-00702,HH-0198,45-54,male,adult,worker,livestock
P-00703,HH-0198,13-17,male,child,student,school
P-00704,HH-0199,35-44,female,household_head,worker,other
P-00705,HH-0199,18-24,male,adult,worker,home_care
P-00706,HH-0200,35-44,male,household_head,worker,casual_labor
P-00707,HH-0200,6-12,male,child,student,casual_labor
P-00708,HH-0200,18-24,female,adult,worker,other
P-00709,HH-0200,0-5,female,child,caregiver,livestock
P-00710,HH-0201,25-34,male,household_head,worker,livestock
P-00711,HH-0201,45-54,female,adult,worker,casual_labor
P-00712,HH-0202,45-54,female,household_head,worker,home_care
P-00713,HH-0203,25-34,male,household_head,worker,other
P-00714,HH-0204,35-44,male,household_head,caregiver,retail_trade
P-00715,HH-0204,6-12,female,child,student,home_care
P-00716,HH-0204,0-5,female,child,dependent,livestock
P-00717,HH-0205,45-54,female,household_head,caregiver,casual_labor
P-00718,HH-0205,0-5,male,child,caregiver,home_care
P-00719,HH-0205,0-5,female,child,dependent,casual_labor
P-00720,HH-0205,0-5,female,child,dependent,livestock
P-00721,HH-0205,13-17,male,child,student,school
P-00722,HH-0206,25-34,male,household_head,worker,retail_trade
P-00723,HH-0206,25-34,male,adult,caregiver,casual_labor
P-00724,HH-0206,6-12,female,child,student,school
P-00725,HH-0206,65+,male,adult,dependent,retail_trade
P-00726,HH-0206,13-17,male,child,student,home_care
P-00727,HH-0207,45-54,female,household_head,worker,retail_trade
P-00728,HH-0207,25-34,female,adult,worker,restaurant_work
P-00729,HH-0207,6-12,female,child,student,school
P-00730,HH-0207,65+,male,adult,dependent,retail_trade
P-00731,HH-0207,25-34,male,adult,worker,other
P-00732,HH-0207,55-64,female,adult,caregiver,retail_trade
P-00733,HH-0208,55-64,male,household_head,worker,casual_labor
P-00734,HH-0209,35-44,male,household_head,caregiver,restaurant_work
P-00735,HH-0209,6-12,female,child,student,casual_labor
P-00736,HH-0209,18-24,female,adult,worker,home_care
P-00737,HH-0209,18-24,male,adult,worker,livestock
P-00738,HH-0209,0-5,female,child,dependent,casual_labor
P-00739,HH-0210,35-44,male,household_head,caregiver,home_care
P-00740,HH-0211,25-34,female,household_head,worker,home_care
P-00741,HH-0212,25-34,female,household_head,worker,casual_labor
P-00742,HH-0213,45-54,male,household_head,worker,retail_trade
P-00743,HH-0213,35-44,female,adult,worker,livestock
P-00744,HH-0213,6-12,female,child,student,livestock
P-00745,HH-0213,6-12,male,child,student,casual_labor
P-00746,HH-0213,25-34,male,adult,worker,livestock
P-00747,HH-0213,6-12,male,child,student,livestock
P-00748,HH-0214,65+,male,household_head,dependent,casual_labor
P-00749,HH-0214,6-12,female,child,student,school
P-00750,HH-0215,55-64,female,household_head,caregiver,retail_trade
P-00751,HH-0216,25-34,female,household_head,worker,livestock
P-00752,HH-0216,18-24,female,adult,caregiver,livestock
P-00753,HH-0216,18-24,male,adult,worker,home_care
P-00754,HH-0216,6-12,female,child,student,school
P-00755,HH-0216,6-12,female,child,student,livestock
P-00756,HH-0217,25-34,male,household_head,worker,livestock
P-00757,HH-0217,6-12,female,child,student,livestock
P-00758,HH-0217,6-12,female,child,student,livestock
P-00759,HH-0217,6-12,male,child,student,school
P-00760,HH-0217,6-12,female,child,student,school
P-00761,HH-0218,45-54,male,household_head,worker,restaurant_work
P-00762,HH-0218,18-24,male,adult,worker,retail_trade
P-00763,HH-0218,35-44,female,adult,worker,casual_labor
P-00764,HH-0218,0-5,female,child,dependent,restaurant_work
P-00765,HH-0219,55-64,female,household_head,worker,retail_trade
P-00766,HH-0219,65+,female,adult,dependent,casual_labor
P-00767,HH-0220,25-34,female,household_head,worker,home_care
P-00768,HH-0220,6-12,female,child,student,livestock
P-00769,HH-0220,65+,female,adult,caregiver,casual_labor
P-00770,HH-0220,13-17,male,child,student,retail_trade
P-00771,HH-0220,55-64,male,adult,worker,livestock
P-00772,HH-0220,6-12,male,child,student,home_care
P-00773,HH-0221,35-44,female,household_head,worker,casual_labor
P-00774,HH-0221,25-34,male,adult,worker,casual_labor
P-00775,HH-0221,6-12,male,child,student,casual_labor
P-00776,HH-0221,6-12,male,child,student,restaurant_work
P-00777,HH-0221,45-54,female,adult,worker,livestock
P-00778,HH-0222,45-54,male,household_head,worker,casual_labor
P-00779,HH-0223,45-54,male,household_head,worker,restaurant_work
P-00780,HH-0223,25-34,male,adult,worker,retail_trade
P-00781,HH-0223,18-24,female,adult,worker,livestock
P-00782,HH-0223,13-17,male,child,student,retail_trade
P-00783,HH-0224,35-44,male,household_head,worker,home_care
P-00784,HH-0224,45-54,female,adult,worker,restaurant_work
P-00785,HH-0224,13-17,male,child,student,school
P-00786,HH-0224,0-5,female,child,caregiver,livestock
P-00787,HH-0225,35-44,female,household_head,worker,restaurant_work
P-00788,HH-0225,13-17,female,child,student,casual_labor
P-00789,HH-0225,6-12,male,child,student,school
P-00790,HH-0226,45-54,male,household_head,worker,casual_labor
P-00791,HH-0227,45-54,female,household_head,worker,retail_trade
P-00792,HH-0228,45-54,female,household_head,caregiver,casual_labor
P-00793,HH-0228,6-12,male,child,student,casual_labor
P-00794,HH-0228,35-44,male,adult,caregiver,livestock
P-00795,HH-0228,18-24,female,adult,worker,retail_trade
P-00796,HH-0228,25-34,female,adult,worker,other
P-00797,HH-0228,13-17,male,child,student,other
P-00798,HH-0229,45-54,female,household_head,worker,restaurant_work
P-00799,HH-0230,55-64,male,household_head,worker,home_care
P-00800,HH-0230,25-34,male,adult,worker,home_care
P-00801,HH-0231,45-54,male,household_head,caregiver,school
P-00802,HH-0231,6-12,female,child,student,livestock
P-00803,HH-0231,18-24,male,adult,worker,casual_labor
P-00804,HH-0231,25-34,male,adult,worker,livestock
P-00805,HH-0231,25-34,female,adult,worker,other
P-00806,HH-0231,13-17,male,child,student,retail_trade
P-00807,HH-0231,0-5,male,child,dependent,retail_trade
P-00808,HH-0232,35-44,male,household_head,worker,livestock
P-00809,HH-0232,25-34,female,adult,worker,casual_labor
P-00810,HH-0232,25-34,female,adult,worker,home_care
P-00811,HH-0233,35-44,male,household_head,worker,restaurant_work
P-00812,HH-0233,13-17,male,child,student,school
P-00813,HH-0233,6-12,female,child,student,school
P-00814,HH-0234,35-44,male,household_head,worker,retail_trade
P-00815,HH-0234,13-17,female,child,student,casual_labor
P-00816,HH-0234,35-44,male,adult,caregiver,retail_trade
P-00817,HH-0234,18-24,female,adult,caregiver,casual_labor
P-00818,HH-0234,6-12,male,child,student,home_care
P-00819,HH-0235,35-44,female,household_head,worker,retail_trade
P-00820,HH-0235,25-34,female,adult,worker,home_care
P-00821,HH-0235,25-34,male,adult,caregiver,livestock
P-00822,HH-0235,6-12,male,child,student,livestock
P-00823,HH-0236,45-54,female,household_head,worker,livestock
P-00824,HH-0236,18-24,male,adult,caregiver,livestock
P-00825,HH-0236,25-34,female,adult,worker,livestock
P-00826,HH-0236,6-12,male,child,student,home_care
P-00827,HH-0237,25-34,male,household_head,caregiver,retail_trade
P-00828,HH-0238,55-64,male,household_head,worker,casual_labor
P-00829,HH-0238,55-64,male,adult,worker,home_care
P-00830,HH-0238,35-44,female,adult,worker,restaurant_work
P-00831,HH-0238,0-5,male,child,caregiver,retail_trade
P-00832,HH-0238,0-5,male,child,dependent,other
P-00833,HH-0238,55-64,male,adult,caregiver,retail_trade
P-00834,HH-0239,35-44,female,household_head,worker,other
P-00835,HH-0239,25-34,female,adult,caregiver,school
P-00836,HH-0239,13-17,female,child,student,school
P-00837,HH-0239,25-34,male,adult,worker,casual_labor
P-00838,HH-0240,25-34,female,household_head,worker,casual_labor
P-00839,HH-0240,25-34,male,adult,caregiver,livestock
P-00840,HH-0240,6-12,female,child,student,retail_trade
P-00841,HH-0240,35-44,female,adult,worker,casual_labor
P-00842,HH-0240,0-5,male,child,dependent,home_care
P-00843,HH-0241,45-54,male,household_head,worker,restaurant_work
P-00844,HH-0241,13-17,female,child,student,casual_labor
P-00845,HH-0242,35-44,male,household_head,worker,retail_trade
P-00846,HH-0243,35-44,female,household_head,worker,livestock
P-00847,HH-0244,25-34,female,household_head,worker,other
P-00848,HH-0244,35-44,male,adult,worker,home_care
P-00849,HH-0244,13-17,male,child,student,school
P-00850,HH-0244,25-34,male,adult,worker,casual_labor
P-00851,HH-0245,55-64,female,household_head,caregiver,retail_trade
P-00852,HH-0245,6-12,female,child,student,home_care
P-00853,HH-0245,6-12,female,child,student,livestock
P-00854,HH-0245,25-34,male,adult,worker,casual_labor
P-00855,HH-0245,35-44,male,adult,worker,retail_trade
P-00856,HH-0245,55-64,female,adult,worker,casual_labor
P-00857,HH-0246,55-64,male,household_head,caregiver,home_care
P-00858,HH-0246,13-17,female,child,student,school
P-00859,HH-0246,18-24,male,adult,worker,retail_trade
P-00860,HH-0246,25-34,female,adult,worker,casual_labor
P-00861,HH-0246,13-17,female,child,student,school
P-00862,HH-0246,18-24,male,adult,worker,home_care
P-00863,HH-0246,0-5,male,child,dependent,other
P-00864,HH-0247,25-34,male,household_head,worker,home_care
P-00865,HH-0247,6-12,female,child,student,livestock
P-00866,HH-0247,13-17,male,child,student,casual_labor
P-00867,HH-0247,13-17,male,child,student,retail_trade
P-00868,HH-0248,45-54,male,household_head,worker,home_care
P-00869,HH-0248,6-12,male,child,student,school
P-00870,HH-0248,0-5,male,child,dependent,home_care
P-00871,HH-0249,35-44,female,household_head,caregiver,livestock
P-00872,HH-0249,6-12,male,child,student,school
P-00873,HH-0250,25-34,male,household_head,worker,retail_trade
P-00874,HH-0250,13-17,female,child,student,school
P-00875,HH-0250,0-5,female,child,dependent,casual_labor
P-00876,HH-0250,0-5,female,child,dependent,home_care
P-00877,HH-0251,65+,male,household_head,dependent,casual_labor
P-00878,HH-0252,35-44,male,household_head,worker,casual_labor
P-00879,HH-0252,25-34,female,adult,worker,casual_labor
P-00880,HH-0252,18-24,female,adult,worker,retail_trade
P-00881,HH-0252,0-5,female,child,dependent,casual_labor
P-00882,HH-0252,25-34,female,adult,worker,retail_trade
P-00883,HH-0252,18-24,male,adult,worker,casual_labor
P-00884,HH-0252,18-24,female,adult,worker,livestock
P-00885,HH-0253,45-54,male,household_head,worker,restaurant_work
P-00886,HH-0253,25-34,female,adult,caregiver,livestock
P-00887,HH-0253,6-12,male,child,student,casual_labor
P-00888,HH-0253,35-44,male,adult,worker,home_care
P-00889,HH-0254,45-54,female,household_head,worker,livestock
P-00890,HH-0254,0-5,female,child,dependent,retail_trade
P-00891,HH-0254,65+,female,adult,dependent,restaurant_work
P-00892,HH-0254,6-12,male,child,student,school
P-00893,HH-0254,6-12,male,child,student,retail_trade
P-00894,HH-0254,0-5,female,child,dependent,home_care
P-00895,HH-0255,65+,male,household_head,dependent,casual_labor
P-00896,HH-0255,13-17,male,child,student,home_care
P-00897,HH-0255,6-12,female,child,student,retail_trade
P-00898,HH-0255,0-5,male,child,dependent,casual_labor
P-00899,HH-0256,35-44,male,household_head,worker,home_care
P-00900,HH-0256,25-34,female,adult,worker,livestock
P-00901,HH-0256,6-12,female,child,student,school
P-00902,HH-0256,35-44,male,adult,caregiver,casual_labor
P-00903,HH-0256,0-5,female,child,dependent,casual_labor
P-00904,HH-0257,35-44,female,household_head,worker,restaurant_work
P-00905,HH-0257,25-34,male,adult,worker,livestock
P-00906,HH-0257,25-34,male,adult,worker,retail_trade
P-00907,HH-0257,25-34,male,adult,worker,home_care
P-00908,HH-0257,6-12,female,child,student,livestock
P-00909,HH-0257,55-64,female,adult,worker,restaurant_work
P-00910,HH-0258,35-44,male,household_head,worker,home_care
P-00911,HH-0258,35-44,male,adult,worker,livestock
P-00912,HH-0259,55-64,female,household_head,caregiver,livestock
P-00913,HH-0259,0-5,male,child,dependent,home_care
P-00914,HH-0259,6-12,male,child,student,casual_labor
P-00915,HH-0260,25-34,male,household_head,worker,retail_trade
P-00916,HH-0260,0-5,male,child,dependent,home_care
P-00917,HH-0260,25-34,female,adult,caregiver,casual_labor
P-00918,HH-0260,45-54,female,adult,worker,restaurant_work
P-00919,HH-0260,6-12,female,child,student,retail_trade
P-00920,HH-0260,6-12,female,child,student,school
P-00921,HH-0260,13-17,male,child,student,livestock
P-00922,HH-0261,35-44,female,household_head,worker,livestock
P-00923,HH-0261,13-17,male,child,student,school
P-00924,HH-0261,0-5,female,child,dependent,casual_labor
P-00925,HH-0261,55-64,female,adult,caregiver,casual_labor
P-00926,HH-0261,18-24,male,adult,worker,restaurant_work
P-00927,HH-0262,45-54,female,household_head,worker,home_care
P-00928,HH-0262,13-17,female,child,student,school
P-00929,HH-0262,35-44,female,adult,worker,livestock
P-00930,HH-0262,35-44,female,adult,caregiver,other
P-00931,HH-0262,13-17,male,child,student,school
P-00932,HH-0262,25-34,male,adult,caregiver,casual_labor
P-00933,HH-0263,45-54,female,household_head,caregiver,casual_labor
P-00934,HH-0263,45-54,male,adult,worker,retail_trade
P-00935,HH-0263,25-34,male,adult,worker,home_care
P-00936,HH-0264,25-34,female,household_head,worker,livestock
P-00937,HH-0264,6-12,female,child,student,retail_trade
P-00938,HH-0264,13-17,male,child,student,school
P-00939,HH-0264,13-17,female,child,student,school
P-00940,HH-0264,55-64,female,adult,worker,other
P-00941,HH-0264,13-17,male,child,student,livestock
P-00942,HH-0265,25-34,male,household_head,worker,casual_labor
P-00943,HH-0265,18-24,female,adult,worker,casual_labor
P-00944,HH-0265,6-12,female,child,student,school
P-00945,HH-0265,13-17,female,child,student,school
P-00946,HH-0265,0-5,female,child,dependent,casual_labor
P-00947,HH-0266,25-34,female,household_head,worker,livestock
P-00948,HH-0266,35-44,male,adult,worker,home_care
P-00949,HH-0266,25-34,female,adult,worker,other
P-00950,HH-0266,25-34,female,adult,worker,restaurant_work
P-00951,HH-0267,65+,male,household_head,caregiver,retail_trade
P-00952,HH-0268,45-54,female,household_head,worker,casual_labor
P-00953,HH-0268,25-34,male,adult,worker,livestock
P-00954,HH-0268,13-17,male,child,student,restaurant_work
P-00955,HH-0268,45-54,male,adult,worker,livestock
P-00956,HH-0268,35-44,male,adult,worker,home_care
P-00957,HH-0268,18-24,female,adult,worker,livestock
P-00958,HH-0269,35-44,male,household_head,worker,casual_labor
P-00959,HH-0269,6-12,male,child,student,school
P-00960,HH-0269,25-34,male,adult,worker,restaurant_work
P-00961,HH-0270,35-44,male,household_head,worker,retail_trade
P-00962,HH-0270,0-5,female,child,dependent,retail_trade
P-00963,HH-0270,18-24,male,adult,caregiver,casual_labor
P-00964,HH-0270,25-34,male,adult,worker,home_care
P-00965,HH-0270,18-24,female,adult,worker,livestock
P-00966,HH-0270,0-5,male,child,dependent,retail_trade
P-00967,HH-0271,35-44,male,household_head,worker,restaurant_work
P-00968,HH-0271,18-24,male,adult,worker,casual_labor
P-00969,HH-0271,35-44,male,adult,worker,casual_labor
P-00970,HH-0272,25-34,female,household_head,worker,home_care
P-00971,HH-0272,25-34,male,adult,worker,casual_labor
P-00972,HH-0272,13-17,male,child,student,restaurant_work
P-00973,HH-0272,6-12,male,child,student,school
P-00974,HH-0272,6-12,female,child,student,casual_labor
P-00975,HH-0273,35-44,male,household_head,worker,home_care
P-00976,HH-0273,6-12,male,child,student,home_care
P-00977,HH-0273,25-34,male,adult,worker,casual_labor
P-00978,HH-0273,0-5,male,child,caregiver,livestock
P-00979,HH-0274,25-34,male,household_head,worker,home_care
P-00980,HH-0274,18-24,female,adult,caregiver,home_care
P-00981,HH-0274,13-17,male,child,student,school
P-00982,HH-0274,25-34,female,adult,worker,casual_labor
P-00983,HH-0274,13-17,female,child,student,school
P-00984,HH-0275,35-44,male,household_head,worker,casual_labor
P-00985,HH-0275,25-34,female,adult,worker,livestock
P-00986,HH-0275,18-24,male,adult,worker,restaurant_work
P-00987,HH-0275,35-44,female,adult,worker,livestock
P-00988,HH-0275,18-24,male,adult,worker,retail_trade
P-00989,HH-0275,45-54,male,adult,caregiver,casual_labor
P-00990,HH-0275,13-17,female,child,student,livestock
P-00991,HH-0276,45-54,male,household_head,worker,home_care
P-00992,HH-0276,13-17,male,child,student,home_care
P-00993,HH-0276,13-17,male,child,student,livestock
P-00994,HH-0276,25-34,male,adult,worker,casual_labor
P-00995,HH-0277,35-44,female,household_head,caregiver,livestock
P-00996,HH-0277,35-44,female,adult,worker,casual_labor
P-00997,HH-0278,25-34,male,household_head,worker,casual_labor
P-00998,HH-0278,6-12,female,child,student,school
P-00999,HH-0278,18-24,male,adult,worker,other
P-01000,HH-0279,55-64,female,household_head,worker,livestock
P-01001,HH-0280,45-54,female,household_head,worker,home_care
P-01002,HH-0280,18-24,female,adult,worker,livestock
P-01003,HH-0280,6-12,male,child,student,livestock
P-01004,HH-0281,35-44,female,household_head,worker,livestock
